,time,sex,vegan,rest,games,series,books,english,USSR_lover,child_offence_Не били,child_offence_Разве что по делу,child_offence_Часто,dvach_Лучшая борда рунета,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Альтернативная,gender_Би,gender_Гетеро,antisemetism_Да,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Биология,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Мне всё равно,crimea_Отрицательно,crimea_Положительно,putin_good,rebel,Драма,Боевик,Аниме,Комедия,Фантастика,Исторический фильм,Детектив,Трагедия,Фильм ужасов
28,2019-09-06 23:51:35,0,0,1,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,False,False,True,True,False,False,False,False,True
29,2019-09-06 23:52:05,0,0,1,5,0,3,5,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False
30,2019-09-06 23:52:20,1,2,1,3,5,1,4,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,True,False,False,True,False,False,True,True,False
31,2019-09-06 23:53:23,1,4,1,0,3,6,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,True,False,False,True,True,True,True,False,True
32,2019-09-06 23:54:36,0,0,1,7,0,0,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,False,False,False,True,True,False,False,False,False
33,2019-09-06 23:57:23,0,0,1,0,3,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,True,True,False,True,True,False,True,True,True
34,2019-09-06 23:57:38,0,1,1,4,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,True,False,True,True,False,True,True,True
35,2019-09-06 23:59:58,0,1,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False
36,2019-10-06 00:00:05,1,1,1,0,3,5,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,False,False,True,False,True,True,True,False
37,2019-10-06 00:00:17,0,1,1,7,3,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,False,True,True,True,True,False,False,False,False
38,2019-10-06 00:00:22,0,2,1,7,5,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False
39,2019-10-06 00:00:52,0,1,1,2,0,2,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,True,True,True,True,True,True,True,True,True
40,2019-10-06 00:01:37,0,3,0,5,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,False,False,False,True,False,False,False,False,False
41,2019-10-06 00:04:43,0,1,1,7,2,7,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,False,False,False,True,False,False,False,False
42,2019-10-06 00:05:28,0,0,1,3,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,False,False,True,False,False,True,False,False
43,2019-10-06 00:08:17,1,3,0,0,2,1,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,True,False,False,True,False,True,True,True,False
44,2019-10-06 00:10:48,0,4,0,7,1,4,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,True,False,False,True,True,False,False,False,False
45,2019-10-06 00:11:34,0,1,1,2,7,4,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,True,True,False,True,True,False,False,False,False
46,2019-10-06 00:13:20,0,0,1,3,5,0,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,True,True,False,True,True,False,True,True,False
47,2019-10-06 00:14:34,0,3,1,5,7,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,True,True,True,True,True,False,True,True,True
